protocol,fold,method,key,value
lolo,24,fisher_wknn,selected_k,3
lolo,24,fisher_wknn,selected_weighting,inv_sq
lolo,24,fisher_wknn,n_selected_keys,80
lolo,24,fisher_wknn,cv_best_score,1.5734179400809551
lolo,25,fisher_wknn,selected_M,32
lolo,25,fisher_wknn,selected_k,3
lolo,25,fisher_wknn,selected_weighting,inv_sq
lolo,25,fisher_wknn,n_selected_keys,32
lolo,25,fisher_wknn,cv_best_score,1.5379166934598458
lolo,26,fisher_wknn,selected_M,32
lolo,26,fisher_wknn,selected_k,3
lolo,26,fisher_wknn,selected_weighting,inv_sq
lolo,26,fisher_wknn,n_selected_keys,32
lolo,26,fisher_wknn,cv_best_score,1.5307709473590676
lolo,27,fisher_wknn,selected_M,all
lolo,27,fisher_wknn,selected_k,3
lolo,27,fisher_wknn,selected_weighting,inv_sq
lolo,27,fisher_wknn,n_selected_keys,80
lolo,27,fisher_wknn,cv_best_score,1.609071184713835
lolo,28,fisher_wknn,selected_M,all
lolo,28,fisher_wknn,selected_k,3
lolo,28,fisher_wknn,selected_weighting,inv_sq
lolo,28,fisher_wknn,n_selected_keys,80
lolo,28,fisher_wknn,cv_best_score,1.5951817358943396
lolo,29,fisher_wknn,selected_M,32
lolo,29,fisher_wknn,selected_k,3
lolo,29,fisher_wknn,selected_weighting,inv_sq
lolo,29,fisher_wknn,n_selected_keys,32
lolo,29,fisher_wknn,cv_best_score,1.5772340028293512
lolo,30,fisher_wknn,selected_M,all
lolo,30,fisher_wknn,selected_k,3
lolo,30,fisher_wknn,selected_weighting,inv_sq
lolo,30,fisher_wknn,n_selected_keys,80
lolo,30,fisher_wknn,cv_best_score,1.6034083452919745
lolo,31,fisher_wknn,selected_M,all
lolo,31,fisher_wknn,selected_k,3
lolo,31,fisher_wknn,selected_weighting,inv_sq
lolo,31,fisher_wknn,n_selected_keys,80
lolo,31,fisher_wknn,cv_best_score,1.6192053451708466
lolo,32,fisher_wknn,selected_M,all
lolo,32,fisher_wknn,selected_k,3
lolo,32,fisher_wknn,selected_weighting,inv_sq
lolo,32,fisher_wknn,n_selected_keys,80
lolo,32,fisher_wknn,cv_best_score,1.6087547609582313
lolo,33,fisher_wknn,selected_M,32
lolo,33,fisher_wknn,selected_k,3
