method,held_out,error,true_x,true_y
wcl_blacklist,25,1.051656436567231,0.0,16.0
wcl_blacklist,26,2.5356979339052947,0.0,18.0
wcl_blacklist,27,3.84792042230331,0.0,20.0
wcl_blacklist,28,4.848735691432658,0.0,22.0
wcl_blacklist,29,1.9842188794627382,0.0,24.0
wcl_blacklist,30,2.130634647731588,0.0,26.0
wcl_blacklist,31,0.638449616942192,0.0,28.0
wcl_blacklist,32,2.814764938962698,0.0,30.0
wcl_blacklist,33,1.704081016339109,0.0,32.0
wcl_blacklist,34,3.791007693029115,0.0,34.0
wcl_blacklist,35,4.823649448504286,0.0,36.0
wcl_blacklist,36,5.721120598101993,0.0,38.0
wcl_blacklist,37,3.8892055799878187,0.0,40.0
wcl_blacklist,38,2.0493142851685424,0.0,42.0
wcl_blacklist,39,1.1202948941015831,0.0,44.0
wcl_blacklist,40,2.1583932242056343,0.0,46.0
wcl_blacklist,41,4.3693013598759585,0.0,48.0
wcl_blacklist,42,5.840117413243515,0.0,50.0
wcl_blacklist,43,3.402858379099413,0.0,52.0
wcl_blacklist,44,5.031995356495413,0.0,54.0
wcl_blacklist,45,5.481440370638931,0.0,56.0
wcl_blacklist,46,4.805983851661868,2.0,56.0
wcl_blacklist,47,3.155283384446768,4.0,56.0
wcl_blacklist,48,1.0627284431902542,6.0,56.0
wcl_blacklist,49,1.5403724424666767,8.0,56.0
wcl_blacklist,50,1.687445265990021,10.0,56.0
wcl_blacklist,51,1.14792090704046,12.0,56.0
wcl_blacklist,52,0.7572608095679871,14.0,56.0
wcl_blacklist,53,1.3540900364624606,16.0,56.0
wcl_blacklist,54,2.8709266736738646,18.0,56.0
wcl_blacklist,55,3.342668419814198,20.0,56.0
wcl_blacklist,56,2.106892043843587,22.0,56.0
wcl_blacklist,57,2.0789649918512447,24.0,56.0
wcl_blacklist,58,1.3605272667461366,26.0,56.0
wcl_blacklist,59,3.062647031465079,28.0,56.0
wcl_corridor,1,2.3439254449597513,32.0,0.0
wcl_corridor,2,7.070713993239728,30.0,0.0
wcl_corridor,3,5.401005502716387,28.0,0.0
wcl_corridor,4,4.450394861010075,26.0,0.0
wcl_corridor,5,2.9366978047005077,24.0,0.0
wcl_corridor,6,0.5952017904723057,22.0,0.0
wcl_corridor,7,1.608691298416133,20.0,0.0
wcl_corridor,8,2.8014768547828766,18.0,0.0
wcl_corridor,9,0.03437336243980127,16.0,0.0
wcl_corridor,10,0.9501213862052182,14.0,0.0
wcl_corridor,11,1.8886554101540085,12.0,0.0
wcl_corridor,12,0.6911378045091254,10.0,0.0
wcl_corridor,13,1.3585219851405341,8.0,0.0
wcl_corridor,14,3.8502948172520064,6.0,0.0
wcl_corridor,15,5.139218032930856,4.0,0.0
wcl_corridor,16,12.154501283482482,2.0,0.0
wcl_corridor,17,11.161971226092234,0.0,0.0
wcl_corridor,18,2.4017254484523054,0.0,2.0
wcl_corridor,19,8.956155409948819,0.0,4.0
wcl_corridor,20,9.364920622987462,0.0,6.0
wcl_corridor,21,7.735817542204799,0.0,8.0
wcl_corridor,22,5.609302349011475,0.0,10.0
wcl_corridor,23,3.5725790124873775,0.0,12.0
wcl_corridor,24,2.5995571403975433,0.0,14.0
wcl_corridor,25,0.34420050393099544,0.0,16.0
wcl_corridor,26,2.3337616035259767,0.0,18.0
wcl_corridor,27,3.736911912273211,0.0,20.0
wcl_corridor,28,4.781981981981982,0.0,22.0
wcl_corridor,29,1.9775594424430274,0.0,24.0
wcl_corridor,30,2.130360354597613,0.0,26.0
wcl_corridor,31,0.21455144497797463,0.0,28.0
wcl_corridor,32,2.7655518905040495,0.0,30.0
wcl_corridor,33,1.4016902867617347,0.0,32.0
wcl_corridor,34,3.6712478978880227,0.0,34.0
